source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,tmass_designation,j_m,h_m,ks_m,ph_qual
604927250081687808,133.34863132243473,11.823738991831462,17.254856505245986,-216.3657127313912,-263.45316617031955,13.340188980102539,2.2640562057495117,08532390+1149296,10.87399959564209,10.289999961853027,10.104000091552734,AAA
604920756091233408,132.82389034195504,11.834877952816734,0.9750133466241586,-10.557111739493799,-2.6739360387705338,13.358670234680176,0.7466926574707031,08511774+1150055,12.392999649047852,12.135000228881836,12.10099983215332,AAA
604917934296936704,132.92637138383867,11.835454589662037,1.1955166033196214,-11.020328143564376,-2.5837009860806655,11.3521728515625,1.1987409591674805,08514234+1150076,9.829000473022461,9.33899974822998,9.187000274658203,AAA
604920717435743872,132.8138844551682,11.837309985817877,1.117996839351071,-10.845375545252608,-2.602112346217476,12.653306007385254,0.7332620620727539,08511534+1150143,11.723999977111816,11.46399974822998,11.423999786376953,AAA
604916010151555072,132.72802893283128,11.852591437914667,1.149104574995496,-10.818923586896531,-2.91436136250908,13.392232894897461,0.7301712036132812,08505474+1151093,12.460000038146973,12.218000411987305,12.164999961853027,AAA
604962193935568896,132.55120535653674,11.856791616775809,1.1811350509906289,-11.083341067000251,-3.004594647606234,8.222472190856934,1.8043594360351562,08501230+1151246,6.010000228881836,5.260000228881836,5.019999980926514,AAA
598975005228795008,132.13799612936353,11.863266823393916,1.1579189132072614,-10.831240707296205,-2.8747698980245353,13.17699146270752,0.7314329147338867,08483313+1151478,12.255999565124512,12.01200008392334,11.95300006866455,AAA
604919033808556800,133.0521578382157,11.875930583962816,1.0914629325679663,-10.925381925978057,-2.8624134697400843,13.925873756408691,0.8878345489501953,08521252+1152334,12.779000282287598,12.42300033569336,12.38700008392334,AAA
604922748956025216,132.8990278346759,11.892973386369523,1.1370045521599306,-11.215168887955025,-2.768860561402737,12.008891105651855,1.1517343521118164,08513577+1153347,10.522000312805176,10.02299976348877,9.940999984741211,AAA
604969061587592064,132.75068511222275,11.908905633421682,1.4113181097163103,-11.354822355769825,-2.746959549051593,12.571531295776367,0.9708433151245117,08510018+1154321,11.321999549865723,10.920999526977539,10.859999656677246,AAA
604969134602863744,132.74003521936353,11.920736885880977,1.1349054718010532,-10.615760205002921,-2.884665662729981,13.237873077392578,0.7385072708129883,08505762+1155147,12.293999671936035,12.038000106811523,11.972999572753906,AAA
604969783142095744,132.71590188562627,11.948850380469302,1.2106094412215898,-11.080182891312374,-2.7191106559522495,12.606145858764648,0.7430047988891602,08505182+1156559,11.645999908447266,11.381999969482422,11.321000099182129,AAA
604947724190083712,132.99190266518517,12.016553873113118,1.1239949298108451,-10.99430966713652,-3.1841337921435238,13.638480186462402,0.763336181640625,08515806+1200596,12.642000198364258,12.413000106811523,12.343999862670898,AAA
604951301898543104,133.2439557991422,12.039296833006993,1.157800068203947,-11.014725274735865,-3.0437556717053003,13.950937271118164,0.8757591247558594,08525856+1202215,12.829000473022461,12.53499984741211,12.392999649047852,AAA
604981778986430848,132.4707556870702,12.066908384129869,7.273617881198837,-43.005654862190866,49.36536595202559,13.879860877990723,2.042877197265625,08495304+1203599,11.598999977111816,11.003000259399414,10.760000228881836,AAA
604940199406871296,133.34344440071823,12.082568129312445,1.797185091463971,3.756831302357593,-8.58328303020766,12.213543891906738,0.7300071716308594,08532244+1204573,11.291999816894531,11.02299976348877,10.947999954223633,AAA
604976556306119040,132.75784890149725,12.133940487302338,1.1039717049237052,7.245280405722314,2.7136430326595735,13.992255210876465,0.7408475875854492,08510187+1208021,13.03499984741211,12.8149995803833,12.708999633789062,AAA
604989677430427776,132.67852104914988,12.193616070246529,0.8368103283905971,-0.5486687778570313,-7.052879420536212,12.007843017578125,1.2186393737792969,08504284+1211372,10.456000328063965,9.954999923706055,9.82800006866455,AAA
605044107551277952,133.69070670081183,12.311917938636972,2.8572783763606733,-13.003799899653549,-4.769221548588358,11.357726097106934,0.6292762756347656,08544578+1218431,10.555000305175781,10.345000267028809,10.293999671936035,AAA
605021911160697344,132.91772300836567,12.37678710617139,2.054669295158018,-4.372280173925562,-2.1474874056216424,12.157337188720703,0.6042728424072266,08514025+1222363,11.375,11.163000106811523,11.131999969482422,AAA
608039516527274368,132.43017736709677,12.567014636154799,1.1094213297226134,-5.355144720161973,-2.3037472093506213,13.322813034057617,0.8455934524536133,08494324+1234011,12.234000205993652,11.927000045776367,11.852999687194824,AAA
